statement,occurences,proposed label
 sinusrhythmus rechtstyp rechtsschenkelblock ,2,
 sinusrhythmus p - sinistrocardiale lagetyp normal unvollständiger rechtsschenkelblock ,4,
 sinusrhythmus linkstyp p - pulmonale angedeutet t flach lateral ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block st - hebung v2 - v4 - st - senkung v5 - v6 anteriorer infarkt laterale ischaemie ecg pathologisch ,1,
 tachykardes vorhofflimmern linkstyp qrs ( t ) abnormal anteroseptaler myokardschaden möglich st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block qrs ( t ) abnormal inferiorer infarkt alter unbest ,1,
 sinusrhythmus lagetyp normal unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnormal inferiorer infarkt alter unbest st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung ,2,
 sinustachykardie linkstyp unspezifisches abnormales t ,2,
 sinusrhythmus lagetyp normal qrs ( t ) abnormal hochlateraler myokardschaden möglich ,4,
 sinusarrhythmie llt diffuse repolarisationsstörungen pathologisches ecg ,1,
 sinusbradykardie lagetyp normal mässige amplitudenkriterien f#r linkshypertrophie t abnormal in anterioren ableitungen ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich ,1,
 sinusrhythmus steiltyp unvollständiger rechtsschenkelblock pathologisches ecg ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnormal anteriorer infarkt möglich hochlateraler infarkt möglich ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal qrs ( t ) abnormal anteroseptaler infarkt wahrscheinlich alt ,1,
 sinusrhythmus linkstyp st and t abnormal wahrscheinlich hochlaterale ischämie oder linksbelastung t abnormal in lateralen ableitungen inferioren ableitungen ,1,
 tachykardes vorhofflimmern ueberdrehter linkstyp st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung hochlaterale ischämie oder linksbelastung ,1,
 sinusrhythmus p - verbreiterung lagetyp normal unspezifisches abnormales t qt - verlängerung ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus steiltyp st - senkung in ii avf ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,2,
 ventrikuläre extrasystole ( n ) vorhofflimmern - flattern lagetyp normal linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,2,
 sinusrhythmus ueberdrehter linkstyp linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,20,
 tachykardes vorhofflimmern lagetyp normal periphere niederspannung st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung ,2,
 ventrikuläre extrasystole ( n ) vorhofflimmern - flattern lagetyp normal periphere niederspannung xxxx unbestätigter bericht ,2,
 sinusrhythmus p - sinistrocardiale lagetyp normal unspezifische intraventrikuläre leitungsstörung linkshypertrophie qrs ( t ) abnorm anterolateraler myokardschaden möglich xxxx unbestätigter bericht ,1,
 tachykardes vorhofflimmern ueberdrehter linkstyp qrs ( t ) abnormal anteroseptaler myokardschaden möglich st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus linkstyp linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,7,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anteriorer infarkt wahrscheinlich alt inferiorer infarkt wahrscheinlich alt t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,2,
 ventrikuläre extrasystole ( n ) sinusrhythmus ueberdrehter linkstyp linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i mlt intraventrikuläre leitungsstörung in i ii iii avr avf ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal xxxx unbestätigter bericht ,29,
 sinusrhythmus p - verbreiterung lagetyp normal unspezifisches abnormales t ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal unvollständiger linksschenkelblock qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinustachykardie llt vorhofüberbelastung rechts wahrscheinlich normales ecg edit rao tachykardie rsiii ( rao ) ,1,
 sinusbradykardie linkstyp t neg in iii schlechte r - progression ,1,
 sinusrhythmus schwierig bestimmbare qrs - achse unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnormal hochlateraler infarkt möglich ,1,
 sinusrhythmus av - block xxxx grades t negativ in i avl v2 - v6 p abgeflacht in v1 - v6 ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal qrs ( t ) abnorm anteriorer infarkt wahrscheinlich alt inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus ueberdrehter linkstyp unspezifischer intraventrikulärer block xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal linkshypertrophie möglich xxxx unbestätigter bericht ,24,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal unspezifisches abnormales t ,1,
 ventrikuläre extrasystole ( n ) vorhofflimmern - flattern lagetyp normal t abnorm in anterolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal normales ecg xxxx unbestätigter bericht edit norm xxxx ( norm xxxx ivcb ) ,1,
 sinusarrhythmie bradykardie llt st - hebung über v2 t negativ in iii wahrscheinlich normales ecg ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnorm inferiorer infarkt alter unbest st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 p wave axis is abnormal and pr interval is short rhythm is probably junctional st segments are depressed in i ii avf v5 xxxx t wave are inverted in ii iii avf v4 xxxx and flat in other leads findings are likely to be due to ischaemic heart di ,1,
 sinusrhythmus llt t negativ in iii v1 t flach in avf normales ecg ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anterolateraler myokardschaden nicht auszuschliessen inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i p - verbreiterung lagetyp normal linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,2,
 sinus arrhythmie mlt u - wellen in v2 v3 normales ecg ,1,
 vorhofflimmern normokard ueberdrehter linkstyp t - veraenderungen ,1,
 sinusrhythmus linkstyp qrs ( t ) abnormal st and t abnormal grenzbefund ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm anterolateraler myokardschaden möglich inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus av block i p - verbreiterung linkstyp mässige amplitudenkriterien für linkshypertrophie xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp mässige amplitudenkriterien für linkshypertrophie t abnorm in lateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp periphere niederspannung qrs ( t ) abnorm inferiorer myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 tachykardes vorhofflimmern lagetyp normal rechtsschenkelblock xxxx unbestätigter bericht ,3,
 sinusrhythmus av block i lagetyp normal unspezifische intraventrikuläre leitungsstörung linkshypertrophie möglich qrs ( t ) abnorm anteriorer infarkt alter unbest inferiorer infarkt wahrscheinlich alt xxxx unbestätigt ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal t - veraenderungen wahrscheinlich normal ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus ueberdrehter linkstyp r - s übergang in v ableitungen nach links verschoben linksanteriorer fascicular block qt - verlängerung xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,5,
 sinusrhythmus av block i lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinus arrhythmie lagetyp normal linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp periphere niederspannung qrs ( t ) abnormal inferiorer infarkt alter unbest path repolarisation pathologisch ,1,
 tachykardes vorhofflimmern linkstyp periphere niederspannung qrs ( t ) abnormal inferiorer infarkt subakut anteriorer infarkt chronisch st and t abnormal fehlende r - progression ventr extrasystolen pathologisch ,1,
 sinusrhythmus av block i linkstyp xxxx unbestätigter bericht ,8,
 vorhofflimmern - flattern lagetyp normal unspezifisches abnormes t xxxx unbestätigter bericht ,15,
 sinusrhythmus p - sinistrocardiale lagetyp normal unspezifische intraventrikuläre leitungsstörung linkshypertrophie qrs ( t ) abnorm hochlateraler infarkt möglich inferiorer myokardschaden nicht auszuschliessen xxxx unbestätigter ,1,
 sinustachykardie lagetyp normal unspezifisches abnormes t xxxx unbestätigter bericht ,6,
 sinusrhythmus lagetyp normal st and t abnorm wahrscheinlich inferolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,4,
 supraventrikuläre extrasystole ( n ) sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal st and t abnorm wahrscheinlich laterale ischämie oder linksbelastung t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal periphere niederspannung t überhöht in v3 ,1,
 ventrikuläre extrasystole ( n ) supraventrikuläre extrasystole ( n ) sinusrhythmus ueberdrehter rechtstyp periphere niederspannung qrs ( t ) abnorm anteriorer infarkt wahrscheinlich alt inferolateraler infarkt xxxx unbestätigter ,1,
 sinus arrhythmie rechtstyp qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal linkshypertrophie möglich ventr extrasystolen uniform path repolarisation schlechte r - progression v3 - xxxx pathologisch ,1,
 ventrikuläre extrasystole ( n ) tachykardes vorhofflimmern lagetyp normal st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung t abnorm in anterioren ableitungen xxxx ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block unvollständiger rechtsschenkelblock st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung laterale ischämie oder linksbelastung t abnorm in inferolateralen ableitungen xxxx ,1,
 sinusrhythmus ueberdrehter rechtstyp periphere niederspannung qrs ( t ) abnorm lateraler infarkt wahrscheinlich alt inferiorer infarkt möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock intraventr leitungsstoerung st - hebung v2 xxxx pathologisch ,1,
 sinusrhythmus vorhofsueberlastung links linkstyp pathologisch ,1,
 vorhofflimmern - flattern lagetyp normal unvollständiger rechtsschenkelblock xxxx unbestätigter bericht ,3,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen ,6,
 ventrikuläre extrasystole ( n ) sinus arrhythmie lagetyp normal unvollständiger rechtsschenkelblock unspezifisches abnormes t qt - verlängerung xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp r - s #bergang in v ableitungen nach links verschoben linksanteriorer fascicular block unvollständiger rechtsschenkelblock qrs ( t ) abnormal inferiorer infarkt möglich ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie p - sinistrocardiale ueberdrehter linkstyp qrs ( t ) abnorm anteriorer infarkt alter unbest t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i p - verbreiterung lagetyp normal qrs ( t ) abnorm anteriorer infarkt mögl akut st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock pathologisch ,1,
 sinusrhythmus linkstyp st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung t abnormal in lateralen ableitungen inferolateralen ableitungen edit injas injal injin ( injas xxxx injal xxxx injin xxxx ) ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal mässige amplitudenkriterien für linkshypertrophie t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,2,
 sinusrhythmus ueberdrehter linkstyp linkshypertrophie xxxx unbestätigter bericht ,2,
 sinusrhythmus p - verbreiterung lagetyp normal unvollständiger rechtsschenkelblock ,1,
 sinusrhythmus lagetyp normal st n posterolateroapikakem infarkt vor xxxx jahren q in i avl v5 - xxxx hohes r in v1 - xxxx ,1,
 supraventrikuläre extrasystole ( n ) sinustachykardie lagetyp normal ,1,
 sinusrhythmus ueberdrehter linkstyp r - s #bergang in v ableitungen nach links verschoben linksanteriorer fascicular block t abnormal in anterolateralen ableitungen ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal linkshypertrophie möglich xxxx unbestätigter bericht ,3,
 sinusrhythmus lagetyp normal rechtsschenkelblock pathologisch ,1,
 sinusrhythmus schwierig bestimmbare qrs - achse qrs ( t ) abnormal inferiorer myokardschaden nicht auszuschliessen ,1,
 sinusrhythmus lagetyp normal p biphasisch in v1 - xxxx st - hebung in v1 - xxxx diskret inferior fehlende r - progression in v1 - xxxx fragl lage - q inferior ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,2,
 ventrikuläre extrasystole ( n ) sinusrhythmus linkstyp linkshypertrophie möglich qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal vorhofsüberlastung rechts t überhöht in v2 - xxxx q in iii schlechte r - progression in v1 - xxxx edit rao schlechte r - progression v1 - xxxx qsiii ( asmi xxxx imi xxxx rao ) ,1,
 sinusrhythmus linkstyp t abnormal in anterolateralen ableitungen inferolateralen ableitungen ,1,
 sinusrhythmus linkstyp rechtsschenkelblock qrs ( t ) abnorm anteriorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp periphere niederspannung normales ecg ,3,
 sinusrhythmus p - sinistrocardiale rechtstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm anteriorer infarkt alter unbest inferiorer myokardschaden möglich xxxx unbestätigter bericht ,3,
 sinusrhythmus lagetyp normal unvollständiger linksschenkelblock t abnorm in anterolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus rechtstyp periphere niederspannung ,1,
 ventrikuläre extrasystole ( n ) tachykardes vorhofflimmern linkstyp qrs ( t ) abnorm inferiorer infarkt alter unbest st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 supraventrikuläre arrhythmie ueberdrehter rechtstyp unvollständiger rechtsschenkelblock qrs ( t ) abnorm inferiorer infarkt alter unbest t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus p - sinistrocardiale rechtstyp unvollständiger rechtsschenkelblock qrs ( t ) abnorm inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 tachykardes vorhofflimmern ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,2,
 sinusrhythmus lagetyp normal st and t abnormal möglicherweise neuer anteroseptaler myokard - oder perikardschaden ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus av block i p - sinistrocardiale lagetyp normal xxxx unbestätigter bericht ,1,
 sinusrytm vänster el - axel t - förändring såsom vid anterior myokardaffektion hög lateral myokardaffektion qt förlängd ,1,
 sinusrhythmus lagetyp normal st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung t abnormal in lateralen ableitungen inferolateralen ableitungen edit injas injal injin ( injas xxxx injal xxxx injin xxxx ) ,1,
 sinustachykardie ueberdrehter linkstyp linksanteriorer schenkelblock akut anteroseptaler infarkt möglich st - hebung in v1 - v3 schlecht r - progression in v1 - v3 path ecg ,1,
 vorhofflimmern - flattern rechtstyp unvollständiger rechtsschenkelblock unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 interponierte supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal qt - verlängerung xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus linkstyp qt - verlängerung ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm lateraler infarkt alter unbest st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 supraventrikuläre arrhythmie ueberdrehter linkstyp xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern rechtstyp unvollständiger rechtsschenkelblock qt - verlängerung xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp qrs ( t ) abnormal anteroseptaler infarkt wahrscheinlich alt st and t abnormal wahrscheinlich hochlaterale ischämie oder linksbelastung ,1,
 sinusrhythmus p - sinistrocardiale rechtstyp unspezifisches abnormes t xxxx unbestätigter bericht ,2,
 tachykardes vorhofflimmern extrem ueberdrehter rechtstyp linksanteriorer fascicular block qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal linkshypertrophie sicher chronisch inferiorer infarkt möglich ( avf iii q ) st - senkung in v5 v6 path ecg ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie lagetyp normal unspezifische intraventrikuläre leitungsstörung unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 regelmässiger rhythmus keine p - welle erkannt lagetyp normal rechtsschenkelblock xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,12,
 tachykardes vorhofflimmern lagetyp normal r - s #bergang in v ableitungen nach rechts verschoben multiforme ves zt in 2er - salve ,1,
 vorhofflimmern - flattern linkstyp st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung t abnormal in anterioren ableitungen ,1,
 ventrikuläre extrasystole ( n ) tachykardes vorhofflimmern lagetyp normal unspezifischer intraventrikulärer block xxxx unbestätigter bericht ,2,
 sinusrhythmus av block i p - sinistrocardiale lagetyp normal unvollständiger rechtsschenkelblock ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnormal anterolateraler myokardschaden möglich ,6,
 sinusrhythmus linkslagetyp vorhofsüberbelastung links path ecg ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block t abnormal in anterolateralen ableitungen inferolateralen ableitungen ,1,
 sinusrhythmus lagetyp normal st - hebung aszendierend in v2 - v4 normales ecg ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus rechtstyp unvollständiger rechtsschenkelblock sonst normales ecg xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 überdrehter linkslagetyp sinusbradykardie normales ecg ,1,
 sinusrhythmus rechtstyp qrs ( t ) abnorm anteriorer infarkt möglich hochlateraler infarkt möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock amplitudenkriterien f#r linkshypertrophie ,1,
 sinusrhythmus av block i lagetyp normal unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnorm anteriorer infarkt alter unbest inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich laterale ischämie oder linksbelast ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus schwierig bestimmbare qrs - achse rechtsschenkelblock ,1,
 sinusrhythmus linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale linkstyp linkshypertrophie xxxx unbestätigter bericht ,5,
 sinusrhythmus p - sinistrocardiale lagetyp normal unvollständiger rechtsschenkelblock qrs ( t ) abnorm lateraler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt inferiorer myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) supraventrikuläre extrasystole ( n ) sinusrhythmus ueberdrehter linkstyp linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus slt st - hebung t - veraenderungen neg in avl asz in v2 normales ecg ,1,
 sinusrhythmus linkstyp st - hebung v2 v3 schlechte r - progression ueber vw ( wechselstrom ) ecg wahrscheinlich normal ,1,
 sinusrhythmus linkstyp periphere niederspannung qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,3,
 sinusrhythmus schwierig bestimmbare qrs - achse periphere niederspannung xxxx unbestätigter bericht ,2,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt alter unbest xxxx unbestätigter bericht ,6,
 sinusrhythmus llt av - block xxxx grades ( grenzwertig ) ,1,
 sinusrhythmus linkstyp r - s übergang in v ableitungen nach rechts verschoben qrs ( t ) abnorm anterolateraler myokardschaden möglich ,1,
 supraventrikuläre arrhythmie linkstyp sonst normales ecg xxxx unbestätigter bericht ,5,
 sinusrhythmus ueberdrehter linkstyp r - s übergang in v ableitungen nach links verschoben unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie lagetyp normal linksschenkelblock ,1,
 sinusrhythmus ueberdrehter linkstyp linkshypertrophie chron inferiorer infarkt moeglich grenzbefund ,1,
 sinusrhythmus lagetyp normal vagale t in v2 - xxxx ,1,
 sinusrhythmus lagetyp normal t abnormal in inferioren ableitungen ,4,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp r - s übergang in v ableitungen nach rechts verschoben xxxx unbestätigter bericht ,3,
 sinusrhythmus llt st - hebung in v2 t - veraenderungen v1 - v2 neg in iii pathologisches ecg ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp unvollständiger linksschenkelblock qrs ( t ) abnorm anterolateraler myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i p - verbreiterung ueberdrehter linkstyp periphere niederspannung linkshypertrophie möglich qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) bigeminus sinus arrhythmie verdacht auf p - sinistrocardiale linkstyp rechtsschenkelblock xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal mässige amplitudenkriterien für linkshypertrophie unspezifisches abnormes t xxxx unbestätigter bericht ,8,
 sinusrhythmus av block i linkstyp mässige amplitudenkriterien für linkshypertrophie unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinustachykardie lagetyp normal st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung ,2,
 sinusrhythmus p - verbreiterung schwierig bestimmbare qrs - achse periphere niederspannung rechtsschenkelblock qrs ( t ) abnormal inferiorer infarkt alter unbest ,1,
 sinustachykardie linkstyp qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt t abnormal in hochlateralen ableitungen ,1,
 sinusrhythmus ueberdrehter linkstyp r - s #bergang in v ableitungen nach rechts verschoben unvollständiger rechtsschenkelblock unspezifisches abnormales t qt - verlängerung ,1,
 sinusrhythmus p - verbreiterung linkstyp unspezifischer intraventrikulärer block xxxx unbestätigter bericht ,2,
 supraventrikuläre extrasystole ( n ) sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt t abnorm in anterolateralen ableitungen inferolateralen ableitungen xxxx ,1,
 sinusrhythmus lagetyp normal linkshypertrophie möglich qrs ( t ) abnorm inferiorer myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinustachykardie linkstyp qrs ( t ) abnorm lateraler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp intraventr leitungsstoerung avf v1 infarkt inferior chronisch moeglich q in ii iii avf ecg pathologisch ,1,
 sinusrhythmus lagetyp normal st and t abnormal wahrscheinlich ecg normal ,1,
 sinusrhythmus lagetyp normal mässige amplitudenkriterien für linkshypertrophie qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,2,
 tachykardes vorhofflimmern lagetyp normal periphere niederspannung qrs ( t ) abnormal hochlateraler infarkt möglich ,2,
 sinusrhythmus linkstyp qrs ( t ) abnormal inferiorer myokardschaden möglich ,2,
 sinustachykardie lagetyp normal st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,5,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusbradykardie p - verbreiterung lagetyp normal linkshypertrophie xxxx unbestätigter bericht ,1,
 sinusrhythmus p - verbreiterung lagetyp normal periphere niederspannung ,4,
 ventrikuläre extrasystole ( n ) sinusrhythmus linkstyp st and t abnormal wahrscheinlich hochlaterale ischämie oder linksbelastung ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnormal anteroseptaler infarkt alter unbest st and t abnormal wahrscheinlich inferiore ischämie oder linksbelastung ,1,
 g vorhofflimmern - flattern lagetyp normal t abnormal in anterolateralen ableitungen inferolateralen ableitungen ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm inferiorer myokardschaden möglich t abnorm in anterioren ableitungen lateralen ableitungen ,1,
 sinusrhythmus lagetyp normal st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung ,7,
 sinusrhythmus linkstyp fehlende r - progression ueber vw infarkt anteroseptal chronisch moeglich st - hebung v2 v3 ecg pathologisch ,1,
 vorhofflimmern - flattern ueberdrehter linkstyp st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung laterale ischämie oder linksbelastung t abnorm in inferolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus rechtstyp st and t abnormal wahrscheinlich inferiore ischämie oder linksbelastung edit iscin xxxx ( f xxxx ) ( norm xxxx ) ,1,
 sinusrhythmus lagetyp normal rechtsschenkelblock ecg pathologisch ,1,
 sinusrhythmus lagetyp normal normales ecg xxxx unbestätigter bericht edit norm xxxx rsiii ( norm xxxx ivcb ) ,1,
 sinusrhythmus lagetyp normal normales ecg xxxx unbestätigter bericht edit norm xxxx rqsiii ( norm xxxx ) ,1,
 sinusrhythmus linkstyp intraventr leitungsstoerung avf v2 infarkt anteroseptal chronisch sicher t - veraenderungen t - abflachung v4 - v6 keine hinweise fuer frischen infarkt ecg pathologisch ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie linkstyp unspezifisches abnormales t ,1,
 sinustachykardie av block i lagetyp normal t abnormal in anterolateralen ableitungen inferolateralen ableitungen ,1,
 sinus arrhythmie p - verbreiterung lagetyp normal linkshypertrophie möglich qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp t abnorm in anterioren ableitungen lateralen ableitungen xxxx unbestätigter bericht ,3,
